producers,directors
"['8579660', '4544025', '8579662', '1398329', '2396290', '4115116', '2566538', '0847692', '3294570', '2390033', '0879956', '8579661']",['0436780']
['4131374'],['4174486']
"['1479759', '0116369', '1715597', '1755530']",['0643664']
"['4614858', '3113835', '1079522', '1377813', '1213129', '1300871', '0557897', '0664216', '0876726', '2433883']","['1015050', '0503497']"
['0496556'],['1556115']
"['1457516', '0661806']","['1457516', '1444883']"
[],[]
"['2601186', '1837026', '0292024', '0329666', '1268946', '1837046', '1219625', '1493950', '3799372', '2847097', '0888605', '2524891']",['4421810']
"['1633269', '7325261', '7671299', '2949944', '2283846', '0921627']","['5465098', '3809735', '5228798']"
"['4000512', '4247882', '3309461', '2286030', '1398329', '4441534', '3514622', '1857237', '2500139', '5348758', '4440796', '3075624']","['3578010', '0793840']"
"['1061554', '3034655', '5221655', '2507310']",['0408051']
"['0077110', '0868219', '1113952', '0415031', '0431622', '1379007', '0825730', '0829091']",['0709056']
['5360912'],['5360912']
"['3337383', '1633269', '3449524', '4692610', '7120004', '7119751', '2949944', '1196774', '0921627', '3434415']","['1406025', '2949944']"
"['3171510', '4562729', '3557902']",['3171510']
"['4000512', '4247882', '3309461', '2286030', '1398329', '1857237', '5348758']","['3578010', '0793840']"
"['0497546', '3804894', '1709238']",['1709238']
[],['2025581']
[],['0024930']
[],['10216460']
['5386910'],['0428166']
['3164213'],['3164213']
"['0539682', '0003569', '0088949', '1883268']","['1888232', '0675616', '0959746']"
"['1037430', '1211903', '3664111', '1037557', '4247093', '2055761', '0411070', '3000885', '7923390', '1906595']",['0436784']
[],['5293835']
"['5214404', '2176241', '5216024', '5214842', '4500464']","['3582399', '5215617']"
"['0160935', '0228147', '1098194', '2758162', '0787420']","['0228147', '5364864']"
['5361948'],['5361948']
"['0481352', '0005124', '1192875']",['0601781']
[],['0619123']
"['4554975', '4963539', '4963731', '4555067', '3283556', '4962821']",['3283556']
[],"['3445766', '3444958']"
"['1256342', '11901152', '3331138', '9397427', '1046177', '3834107', '4894836', '3267759', '1247172', '4440796']",['1841039']
"['7548791', '1276459', '2611223', '2126907', '0747742', '3176310', '1615958', '0894611']","['2611223', '2126907']"
"['1627156', '1480420', '0265389', '1491111', '4111213', '4037667', '2652213']","['1448814', '0184308', '0004071']"
"['0030417', '5696713', '0653004', '8673221']","['0535340', '0556094', '0875453', '0030417']"
"['0177208', '0268901', '0275888']",['1124954']
"['4189780', '6384352', '3471784', '2929057', '6851864', '8020011', '3834107', '4811430', '1729631', '7993105', '5808543', '0879922', '4440796']",['2857829']
[],[]
"['0009107', '7286250', '2235255', '0522464', '1479531', '1329490', '1745937', '4276249', '5147582']","['1148187', '1074691']"
['0838006'],['0838006']
"['10723836', '0436606', '13506737', '1520917', '6147246', '4198675', '2403986', '4539529', '3192437', '2838056']",['0619110']
"['2941991', '1297226']",['1297226']
['5198125'],['5198481']
[],['0996406']
"['6094596', '0100279', '1747075', '0322064', '1380146', '8636973', '1680522', '0498555', '0511605', '0514569', '0522866', '6094594', '0592684', '1335280', '4431579', '6094595', '0918424', '0005544', '0934671']",['2117510']
"['1650390', '10240701', '0783652']",['2239528']
"['4992840', '3985479', '12220766', '5363406', '4647532', '2488332', '12220764', '4809574', '1549716', '6206652', '4934865', '3309461', '2286030', '12220768', '10557088', '4809692', '3834107', '1729631', '2068773', '12220765', '1426179', '9589243', '0879922', '12220767', '2879821']",['2025035']
"['1668027', '2522309', '1103812', '4627821', '0444355', '1834469', '0687664', '0875651']",['2522309']
[],['4392056']
"['2584031', '2373075', '2790553']",['2373075']
"['2807865', '3953309', '0385170', '3218514', '4896015', '4821332', '4203198']",['2807865']
"['3283278', '2180618', '4898946', '3811600', '4926065', '4899386', '3733760', '3527880', '3505492', '4057979', '1694548', '3649476', '4898487', '2180857', '2792411', '2803934', '4899108', '3604803', '2039552']","['4005340', '1694548']"
"['0067457', '3011584', '0520036', '4139553', '6229764', '4208779', '2681374', '0892064']","['1703597', '1650373']"
"['5516209', '4265184', '2760629', '5318142']",['2760629']
"['5181455', '5180881']",['5181638']
['5257978'],['5257978']
"['1322003', '5287189']",['5287189']
[],['5298987']
['4501933'],['4501933']
['5411609'],['5411609']
['3095605'],['3095605']
[],['5557690']
['5675745'],"['5675745', '5676701']"
[],['0046559']
"['1180845', '0679565']","['1802049', '6342420', '2344309']"
[],['6404746']
['5592581'],['5592581']
[],['5592581']
[],['5592581']
[],['5592581']
[],['4286465']
[],['1744370']
"['8210655', '2145190', '4614858', '3151766', '6772803', '4698429', '0596030', '1243244', '0910419', '2534074']","['2228322', '2222398', '0920492', '2222398', '0920492']"
"['1081240', '2716087', '4230130', '4809574', '1549716', '3739603', '4810515', '3996625', '5641384', '0555470', '2566192', '4809692', '1327704', '4808763', '1084385', '2012512', '5691126', '1218073', '4808994']",['1059369']
['3194816'],['3194816']
"['1308619', '0567079', '1238966']","['0862911', '2000099']"
['5609688'],['0306335']
"['11358717', '4125555', '0709349']","['1300063', '0709349']"
"['3337383', '1633269', '1539281', '0921627', '3434415']",['4392056']
"['3337383', '1633269', '8901116', '8906830', '8988954', '3449524', '7008154', '8575245', '7978823', '8906831', '5624924', '5485027', '2603491', '1420683', '2009249', '2011816', '7455272', '3116046', '0518073', '8906832', '8906829', '5371819', '3831972', '5142155', '2949944', '3462154', '1090121', '0921627', '3493746', '0939147', '6374753', '3434415', '10112291', '8906828']","['1569807', '8920834', '1420683', '5485894', '7766080']"
[],['3151236']
"['1201786', '5658335', '10359132', '4430901', '5658190', '5658356', '5657523', '4353588', '5657804']",['2710488']
"['1872988', '1638479', '0112817', '5576716', '5576689', '5576721', '2708994', '3342149', '5576680', '2242136']",['0673853']
"['2840714', '5381954']","['0591115', '2840714']"
"['5353966', '5647152', '5647482', '5646970', '5647028']",['4722385']
['8673221'],['0473549']
"['0188710', '1303151']",['0435091']
"['5559587', '5142691', '5049334']",['3650958']
"['1992281', '2255818', '1984689']",['2026219']
"['2703822', '1713280']",['0399011']
"['0069549', '0367286']","['0210320', '0761498']"
"['1298112', '3277956', '3158145', '3279010', '3877702', '0169856', '1945161', '2304965', '11328311', '2594560', '1302985']",['0630802']
"['4705364', '5923603', '3463512', '1251784', '2131743', '4626844', '0594477', '2961904', '2034426', '1576412', '5923602', '0875340', '0879934']",['1287472']
"['2941991', '1297226']",['1297226']
"['1256592', '1789983', '4735978', '0399746', '0403481', '1756886', '3628245', '9565489', '4734344', '1019013', '0920873', '0922667', '4333819']",['0403481']
"['11061672', '0810862']",['0951418']
"['6214396', '0116369', '0306452', '0525269', '2847097', '1575880', '0873991', '1381903']",['0306452']
['3991157'],['3991157']
"['1014432', '4183265', '0728183', '1137911', '2368387', '1879358']",['2368387']
"['0990420', '1738698', '0093252', '0210485', '0210487', '2970951', '6420825', '1568089', '0347775', '0347776', '1809802', '2052281', '3034370', '2037987', '9053866']","['0093252', '0210485', '0210487']"
"['1626587', '0527859', '0638384', '5376246']",['1001259']
"['4001554', '3977111', '4968925', '2965202', '2332735', '2797554', '3674021', '2559669', '4751854', '7399264', '2515592', '2929076', '3673882', '2121751', '3000570', '2981093', '2440340', '4555888', '4968871', '2890926', '4969069']",['1622836']
"['10379771', '5788123', '2942457', '4234619', '2992462', '8929914', '2009249', '2011816', '3070794', '5569286', '1329490', '5045748', '5569560', '2142993', '9348855', '3920462', '5371819', '5569813', '5788124', '2243434', '1090121', '5569296', '9623925', '6777732', '5569471']",['3071876']
"['0004693', '0123967', '1909303', '1974473', '1977428', '2148145', '1279869', '0718647']","['1909303', '1974473']"
"['5448328', '5446995', '5446675', '5448517', '4488795']","['5447408', '5446577']"
['3813943'],['4516939']
"['3467250', '3490418']",['3490418']
['2347606'],"['5467209', '5467419']"
"['1776737', '0183752', '0378229', '8024462', '4052059', '1289897', '8024463', '1137712', '0795533', '1277553', '0928385', '5197781', '1718053']",['0857130']
"['5327343', '10723836', '4809574', '0436606', '0605672', '9008207', '0793687', '4539529', '3192437', '2154425', '2838056', '1247172']",['0396075']
"['3249743', '3269501', '3248232', '3375256']",['3248232']
['4905740'],['4905740']
['5153216'],['5153216']
"['0259712', '3704113', '0476301', '0783652', '2448168', '0946473']","['0199381', '1729126']"
"['5500358', '2966896', '10588584', '13051242', '9443606', '3450485', '10239925', '5264253', '4298355']",['3045431']
['3426117'],['3426117']
"['7012343', '3284014', '3154125', '5309060', '2677924']","['4710591', '3154125']"
"['0582939', '3655313', '0777059', '5653197']",['1256250']
[],['2621812']
"['4000512', '2488332', '4433020', '4134131', '4875458', '6480678', '4315565', '2981558', '6976174', '1989445', '6408611']","['2324235', '0357355', '0766272']"
"['2577652', '2270022', '1082471']",['2032664']
"['0040247', '2657390']",['1847106']
[],[]
"['1124979', '1000858', '0366337', '0431622', '0871303']",['0917188']
"['0040286', '4813811', '5638572', '5638339']",['1703597']
['2032614'],['0470554']
"['0007317', '0095012', '2551628', '1382149']",['1302411']
"['5592581', '5594968']",['5592581']
"['0116062', '0217524', '0246185', '0252970', '0284369', '2441005', '2855886', '0440604', '5321869', '3467113', '1944105', '2038610', '0760471', '0000705']",['0284369']
"['5621634', '2426554']",['5622738']
"['3380149', '9810612', '2284866']","['3778247', '11703463']"
"['1092332', '5147232', '3356206', '5769606', '1346579', '0496556', '5769607', '1664401']",['1396121']
['1925715'],['5414064']
['3266654'],['3266654']
"['3084002', '2092627', '0757082', '0792438', '6964273']",[]
"['0230032', '0005124', '0342430', '0706032', '0004056', '0881279']",['0768959']
"['1298914', '0819443']",['0819443']
"['5744874', '5597288', '5744868', '5744872', '5744869', '5744870', '5744871', '5744867', '5744873']",['5744866']
"['1256342', '1037430', '1211903', '2116598', '3664111', '1037557', '0411070', '2865127', '1985881', '3267759', '2427032']",['2606944']
[],['5598697']
"['1055220', '5053796', '2847097']","['2521923', '1055220']"
['2130755'],['0880085']
['2941991'],['1297226']
"['4001554', '3016723', '5729921', '5729920', '5460336', '2817116', '6182058', '2420299']",['3602074']
"['0238941', '2369840', '2774709']",['0419829']
['3449078'],"['5656397', '5655721']"
"['13352056', '8824449', '5444009', '2721150', '0140971', '0140975', '3965448', '6107412', '6445146', '5913047', '6860401', '13650056', '13650055', '3438390', '4620789', '0233921', '13352060', '3991160', '0299564', '13650051', '6803200', '13352054', '13352055', '13650053', '13650052', '2295068', '7431212', '2456892', '3853645', '0442234', '6359182', '6008327', '4436026', '13352059', '5373998', '6480977', '2288634', '9105406', '7045352', '0705511', '9229415', '5706617', '1654165', '13352058', '13352057', '13650054', '5374754', '12456185', '0868805', '1635581', '12808373', '1174365', '13352061', '3590047', '13352052', '11047753', '4065011', '9229409']","['0278181', '0820800']"
"['0058762', '2109290', '0205510', '0627965', '1010156']","['2149505', '6348823']"
"['0372329', '0577560', '2454185']","['1853544', '0719208']"
"['3364548', '6039056', '1236503', '1037430', '1211903', '4189780', '3664111', '1037557', '0411070', '5072314', '12415291', '2212512', '2047691', '2676892', '2631098', '2650602', '2961821', '6039055', '0765822', '5302020', '4848167', '5558528', '6039054', '1754696', '12415292']","['1496044', '0457124']"
"['1084716', '0561149', '6259917', '1889870']","['5755539', '0561149', '4463388']"
[],['3616667']
[],['7205578']
"['6062169', '1492372', '2622428', '0879268']",['0138359']
[],"['0253727', '5904533', '0320868']"
"['2415526', '3252121', '3103802', '2642077', '2586351', '0820746', '4409561', '1036220']",['2270693']
"['4992840', '10231699', '10723836', '10057981', '10723837', '2598359', '4277609', '2158832', '3984065', '1046177', '3834107', '2209559', '2838056']",['5143231']
[],['1278058']
"['0320868', '2847097']","['0157345', '0320868']"
['5592581'],['5592581']
"['0612049', '5677333', '0829601']",['1659741']
['3018481'],"['6955838', '4141791']"
"['6914048', '5391372', '4370996', '4370666', '4262128', '7022390', '2809048', '4371294']",['0951197']
"['5705889', '1558913', '0002728', '0273832', '0293958', '0303922', '4813799', '0323376', '3039720', '1846769', '5699245', '1098024', '1481660', '0602291', '0615789', '3149502', '5698213', '5699681', '0775529', '0868878', '0918424', '0005544']",['0002728']
"['0297757', '1749204', '1916093', '5836771', '2864129', '0550881', '1084385', '0840699', '5347659']",['0594503']
"['0034712', '1092332', '2797554', '0442930', '0496556', '3955462', '1664401', '4494221', '1019091']","['1483822', '0441420', '1557215', '0960028']"
[],['2222215']
[],['4423315']
"['0020298', '1148054', '7012346', '5838906', '1852209', '0449549', '3318396', '0624260', '0656564', '0687331', '0842470']",['0331532']
['5639881'],['5639881']
['9038055'],['3624678']
"['6219988', '6219987', '3031335']",['6219987']
"['0051212', '1259373', '7383974', '0005124', '1664671', '0875408']",['0355806']
"['0102407', '1149199', '0395393', '0557897', '1084232']",['0468380']
"['7919618', '8911664', '2488332', '5500358', '1240264', '1251784', '2286030', '8151551', '1425656', '2934722', '5923602', '1780241', '12908457', '2998778', '2339968', '2370385', '2916195']",['0945717']
"['2934638', '1835122', '1970382', '3564178', '5690979', '1566098', '2050552', '2469089', '5691004', '1950075', '2613001']",['1950075']
"['0027178', '0219785', '2625482', '0399746', '1019013', '4333819']",['0490640']
"['1268472', '4563022', '4449721']",['5739362']
['5898145'],['5898132']
"['5888079', '5888078']",['5888077']
"['3105645', '4277609', '0997125', '3834107', '3625350', '2237137', '4625266', '0879922', '1392363']",['2171473']
[],['0471972']
"['2674901', '3811268', '7267391', '6888183']",['0032925']
"['2898562', '5651043', '1386952']",['4878006']
['4726510'],['3613566']
"['5861171', '5861172']","['5861171', '5861172']"
"['3489020', '2867475', '0000104', '2988773', '1068116', '4131146', '0436901', '6512071', '1993673', '0692713']",['1575880']
"['2488088', '2797554', '4080865', '0496556', '2488310', '2486507', '2487787', '2981093', '1664401']",['2128776']
"['0028712', '2279718', '2834285', '0263682', '2317764', '8385464', '2259596', '4602622', '1001653', '0800878', '2812744', '1073766', '2372261']","['2259596', '2812744']"
"['5559423', '4173773', '6276056', '3681653', '7737913', '2671345']",['0994245']
['3698256'],['3698256']
"['0971743', '0192032', '1041610', '3859912']",['0821128']
"['2936090', '2855173']",['2855173']
"['0091104', '0432004', '0520488', '0550455', '0588087']","['0970606', '2329165']"
"['1155309', '0517318', '7048688', '0745199', '0001709', '0955995']","['1155309', '0001709']"
"['2025177', '2125679', '5630308']",['2023295']
['2137662'],['2951802']
"['4525151', '4524679', '4524840']","['4525151', '4524840']"
[],['5932852']
"['1400761', '1400785', '1382149']",['0503497']
"['1529083', '0000546', '0674985', '5589116', '0687739', '3056520', '4735056', '5589164']",['0687739']
